InformationDate,USDtoZAR,USDtoZAR_Fill,USDtoZAR_MonthlyAver
2010-06-08,7.772986099480825,7.772986099480825,7.647001251377642
2010-06-09,7.734637801831807,7.734637801831807,7.647001251377642
2010-06-10,7.749688667496888,7.749688667496888,7.647001251377642
2010-06-11,7.719139111074464,7.719139111074464,7.647001251377642
2010-06-12,,7.692314200971568,7.647001251377642
2010-06-13,,7.665489290868672,7.647001251377642
2010-06-14,7.638664380765777,7.638664380765777,7.647001251377642
2010-06-15,7.688448360254528,7.688448360254528,7.647001251377642
2010-06-16,7.6432353180744474,7.6432353180744474,7.647001251377642
2010-06-17,7.574698697727088,7.574698697727088,7.647001251377642
2010-06-18,7.5382314904623335,7.5382314904623335,7.647001251377642
2010-06-19,,7.511324154537905,7.647001251377642
2010-06-20,,7.484416818613477,7.647001251377642
2010-06-21,7.457509482689049,7.457509482689049,7.647001251377642
2010-06-22,7.569913525860662,7.569913525860662,7.647001251377642
2010-06-23,7.5605900089642235,7.5605900089642235,7.647001251377642
2010-06-24,7.6470396346436145,7.6470396346436145,7.647001251377642
2010-06-25,7.643972669594925,7.643972669594925,7.647001251377642
2010-06-26,,7.6179581689565214,7.647001251377642
2010-06-27,,7.591943668318118,7.647001251377642
2010-06-28,7.565929167679714,7.565929167679714,7.647001251377642
2010-06-29,7.63895720609936,7.63895720609936,7.647001251377642
2010-06-30,7.644690734251487,7.644690734251487,7.647001251377642
2010-07-01,7.774578195976639,7.774578195976639,7.54763690477754
2010-07-02,7.725533949633409,7.725533949633409,7.54763690477754
2010-07-03,,7.729798947828385,7.54763690477754
2010-07-04,,7.734063946023361,7.54763690477754
2010-07-05,7.738328944218337,7.738328944218337,7.54763690477754
2010-07-06,7.654424040066778,7.654424040066778,7.54763690477754
2010-07-07,7.679239277472746,7.679239277472746,7.54763690477754
2010-07-08,7.573222748815166,7.573222748815166,7.54763690477754
2010-07-09,7.571496399461897,7.571496399461897,7.54763690477754
2010-07-10,,7.587673811328612,7.54763690477754
2010-07-11,,7.603851223195328,7.54763690477754
2010-07-12,7.6200286350620425,7.6200286350620425,7.54763690477754
2010-07-13,7.574110907789005,7.574110907789005,7.54763690477754
2010-07-14,7.554121073762103,7.554121073762103,7.54763690477754
2010-07-15,7.562363579669474,7.562363579669474,7.54763690477754
2010-07-16,7.543384615384615,7.543384615384615,7.54763690477754
2010-07-17,,7.573313496516089,7.54763690477754
2010-07-18,,7.603242377647564,7.54763690477754
2010-07-19,7.633171258779038,7.633171258779038,7.54763690477754
2010-07-20,7.647150420429772,7.647150420429772,7.54763690477754
2010-07-21,7.534680502457673,7.534680502457673,7.54763690477754
2010-07-22,7.537976653696498,7.537976653696498,7.54763690477754
2010-07-23,7.424672404435139,7.424672404435139,7.54763690477754
2010-07-24,,7.4069259331194175,7.54763690477754
2010-07-25,,7.389179461803696,7.54763690477754
2010-07-26,7.371432990487975,7.371432990487975,7.54763690477754
2010-07-27,7.303000076728306,7.303000076728306,7.54763690477754
2010-07-28,7.351985837438424,7.351985837438424,7.54763690477754
2010-07-29,7.318846124416559,7.318846124416559,7.54763690477754
2010-07-30,7.3392692661958865,7.3392692661958865,7.54763690477754
2010-07-31,,7.315676948263792,7.54763690477754
2010-08-01,,7.292084630331698,7.305708123216686
2010-08-02,7.268492312399603,7.268492312399603,7.305708123216686
2010-08-03,7.284925497314877,7.284925497314877,7.305708123216686
2010-08-04,7.29024685748902,7.29024685748902,7.305708123216686
2010-08-05,7.229672330097086,7.229672330097086,7.305708123216686
2010-08-06,7.2681390406800235,7.2681390406800235,7.305708123216686
2010-08-07,,7.249938213040185,7.305708123216686
2010-08-08,,7.231737385400346,7.305708123216686
2010-08-09,7.2135365577605075,7.2135365577605075,7.305708123216686
2010-08-10,7.268331683545268,7.268331683545268,7.305708123216686
2010-08-11,7.279732636754764,7.279732636754764,7.305708123216686
2010-08-12,7.336356528537921,7.336356528537921,7.305708123216686
2010-08-13,7.299007734979296,7.299007734979296,7.305708123216686
2010-08-14,,7.298428453584741,7.305708123216686
2010-08-15,,7.297849172190187,7.305708123216686
2010-08-16,7.297269890795632,7.297269890795632,7.305708123216686
2010-08-17,7.259331259720062,7.259331259720062,7.305708123216686
2010-08-18,7.249611801242236,7.249611801242236,7.305708123216686
2010-08-19,7.263867248363976,7.263867248363976,7.305708123216686
2010-08-20,7.357721658406105,7.357721658406105,7.305708123216686
2010-08-21,,7.346898401993658,7.305708123216686
2010-08-22,,7.336075145581212,7.305708123216686
2010-08-23,7.325251889168765,7.325251889168765,7.305708123216686
2010-08-24,7.40631194988502,7.40631194988502,7.305708123216686
2010-08-25,7.391897248870213,7.391897248870213,7.305708123216686
2010-08-26,7.320334042385567,7.320334042385567,7.305708123216686
2010-08-27,7.375993077951703,7.375993077951703,7.305708123216686
2010-08-28,,7.358194860366752,7.305708123216686
2010-08-29,,7.340396642781801,7.305708123216686
2010-08-30,7.32259842519685,7.32259842519685,7.305708123216686
2010-08-31,7.416719242902209,7.416719242902209,7.305708123216686
2010-09-01,7.3589843749999995,7.3589843749999995,7.137150340434328
2010-09-02,7.262443438914026,7.262443438914026,7.137150340434328
2010-09-03,7.218715910861773,7.218715910861773,7.137150340434328
2010-09-04,,7.218152795631219,7.137150340434328
2010-09-05,,7.217589680400664,7.137150340434328
2010-09-06,7.2170265651701095,7.2170265651701095,7.137150340434328
2010-09-07,7.275737602008788,7.275737602008788,7.137150340434328
2010-09-08,7.265889580215799,7.265889580215799,7.137150340434328
2010-09-09,7.232717263075108,7.232717263075108,7.137150340434328
2010-09-10,7.181453831041258,7.181453831041258,7.137150340434328
2010-09-11,,7.17002788798579,7.137150340434328
2010-09-12,,7.158601944930322,7.137150340434328
2010-09-13,7.147176001874854,7.147176001874854,7.137150340434328
2010-09-14,7.150116731517511,7.150116731517511,7.137150340434328
2010-09-15,7.089768265455386,7.089768265455386,7.137150340434328
2010-09-16,7.117449151246367,7.117449151246367,7.137150340434328
2010-09-17,7.14448698315467,7.14448698315467,7.137150340434328
2010-09-18,,7.1417583406131335,7.137150340434328
2010-09-19,,7.139029698071597,7.137150340434328
2010-09-20,7.13630105553006,7.13630105553006,7.137150340434328
2010-09-21,7.109222560975609,7.109222560975609,7.137150340434328
2010-09-22,7.018332834480694,7.018332834480694,7.137150340434328
2010-09-23,7.081738347219095,7.081738347219095,7.137150340434328
2010-09-24,7.042201014017299,7.042201014017299,7.137150340434328
2010-09-25,,7.029395417670161,7.137150340434328
2010-09-26,,7.016589821323024,7.137150340434328
2010-09-27,7.0037842249758855,7.0037842249758855,7.137150340434328
2010-09-28,7.0194650817236255,7.0194650817236255,7.137150340434328
2010-09-29,6.957534347219162,6.957534347219162,7.137150340434328
2010-09-30,6.992819460726846,6.992819460726846,7.137150340434328
2010-10-01,6.92998688620137,6.92998688620137,6.921250192022571
2010-10-02,,6.942258070066388,6.921250192022571
2010-10-03,,6.954529253931406,6.921250192022571
2010-10-04,6.966800437796424,6.966800437796424,6.921250192022571
2010-10-05,6.94912917271408,6.94912917271408,6.921250192022571
2010-10-06,6.888351616628175,6.888351616628175,6.921250192022571
2010-10-07,6.884967788117394,6.884967788117394,6.921250192022571
2010-10-08,6.918768920282543,6.918768920282543,6.921250192022571
2010-10-09,,6.909178323433673,6.921250192022571
2010-10-10,,6.899587726584805,6.921250192022571
2010-10-11,6.889997129735936,6.889997129735936,6.921250192022571
2010-10-12,6.908985758692981,6.908985758692981,6.921250192022571
2010-10-13,6.861011606247313,6.861011606247313,6.921250192022571
2010-10-14,6.78263952911141,6.78263952911141,6.921250192022571
2010-10-15,6.8019731705585915,6.8019731705585915,6.921250192022571
2010-10-16,,6.83027342055662,6.921250192022571
2010-10-17,,6.858573670554649,6.921250192022571
2010-10-18,6.886873920552677,6.886873920552677,6.921250192022571
2010-10-19,6.963489429251751,6.963489429251751,6.921250192022571
2010-10-20,6.946107784431137,6.946107784431137,6.921250192022571
2010-10-21,6.893764269406393,6.893764269406393,6.921250192022571
2010-10-22,6.952490311468351,6.952490311468351,6.921250192022571
2010-10-23,,6.9377754762175385,6.921250192022571
2010-10-24,,6.923060640966726,6.921250192022571
2010-10-25,6.908345805715914,6.908345805715914,6.921250192022571
2010-10-26,6.924956871765382,6.924956871765382,6.921250192022571
2010-10-27,7.036151561254799,7.036151561254799,6.921250192022571
2010-10-28,7.032618892978279,7.032618892978279,6.921250192022571
2010-10-29,6.987587500902072,6.987587500902072,6.921250192022571
2010-10-30,,6.992036169158995,6.921250192022571
2010-10-31,,6.9964848374159185,6.921250192022571
2010-11-01,7.000933505672841,7.000933505672841,6.981323199049702
2010-11-02,6.951062919104009,6.951062919104009,6.981323199049702
2010-11-03,6.907735122020837,6.907735122020837,6.981323199049702
2010-11-04,6.781802864363942,6.781802864363942,6.981323199049702
2010-11-05,6.807867083214996,6.807867083214996,6.981323199049702
2010-11-06,,6.827385509190347,6.981323199049702
2010-11-07,,6.846903935165699,6.981323199049702
2010-11-08,6.86642236114105,6.86642236114105,6.981323199049702
2010-11-09,6.808820365722481,6.808820365722481,6.981323199049702
2010-11-10,6.883877995642702,6.883877995642702,6.981323199049702
2010-11-11,6.910510948905109,6.910510948905109,6.981323199049702
2010-11-12,6.947706221282182,6.947706221282182,6.981323199049702
2010-11-13,,6.965406574254661,6.981323199049702
2010-11-14,,6.98310692722714,6.981323199049702
2010-11-15,7.000807280199619,7.000807280199619,6.981323199049702
2010-11-16,7.010431971789598,7.010431971789598,6.981323199049702
2010-11-17,7.066463912172687,7.066463912172687,6.981323199049702
2010-11-18,6.987836154466184,6.987836154466184,6.981323199049702
2010-11-19,6.996270293988593,6.996270293988593,6.981323199049702
2010-11-20,,6.996756342153945,6.981323199049702
2010-11-21,,6.997242390319296,6.981323199049702
2010-11-22,6.997728438484648,6.997728438484648,6.981323199049702
2010-11-23,7.0735032602252526,7.0735032602252526,6.981323199049702
2010-11-24,7.103605967463827,7.103605967463827,6.981323199049702
2010-11-25,7.048795135500337,7.048795135500337,6.981323199049702
2010-11-26,7.129678638941399,7.129678638941399,6.981323199049702
2010-11-27,,7.132854373321346,6.981323199049702
2010-11-28,,7.136030107701293,6.981323199049702
2010-11-29,7.139205842081241,7.139205842081241,6.981323199049702
2010-11-30,7.132943529773811,7.132943529773811,6.981323199049702
2010-12-01,7.018299656881433,7.018299656881433,6.821579528199874
2010-12-02,6.977423033067276,6.977423033067276,6.821579528199874
2010-12-03,6.91567265589612,6.91567265589612,6.821579528199874
2010-12-04,,6.9135608870632765,6.821579528199874
2010-12-05,,6.911449118230434,6.821579528199874
2010-12-06,6.90933734939759,6.90933734939759,6.821579528199874
2010-12-07,6.876225398488364,6.876225398488364,6.821579528199874
2010-12-08,6.948257575757575,6.948257575757575,6.821579528199874
2010-12-09,6.916981988799758,6.916981988799758,6.821579528199874
2010-12-10,6.847176079734219,6.847176079734219,6.821579528199874
2010-12-11,,6.848646267673369,6.821579528199874
2010-12-12,,6.85011645561252,6.821579528199874
2010-12-13,6.85158664355167,6.85158664355167,6.821579528199874
2010-12-14,6.82270189802754,6.82270189802754,6.821579528199874
2010-12-15,6.787874251497006,6.787874251497006,6.821579528199874
2010-12-16,6.837815379966762,6.837815379966762,6.821579528199874
2010-12-17,6.831146304675716,6.831146304675716,6.821579528199874
2010-12-18,,6.827062217873363,6.821579528199874
2010-12-19,,6.822978131071008,6.821579528199874
2010-12-20,6.818894044268655,6.818894044268655,6.821579528199874
2010-12-21,6.8098821740782975,6.8098821740782975,6.821579528199874
2010-12-22,6.803767541183649,6.803767541183649,6.821579528199874
2010-12-23,6.75260257195346,6.75260257195346,6.821579528199874
2010-12-24,6.74501870371784,6.74501870371784,6.821579528199874
2010-12-25,,6.737087174788751,6.821579528199874
2010-12-26,,6.729155645859661,6.821579528199874
2010-12-27,6.721224116930572,6.721224116930572,6.821579528199874
2010-12-28,6.687533156498674,6.687533156498674,6.821579528199874
2010-12-29,6.688109013398295,6.688109013398295,6.821579528199874
2010-12-30,6.628765060240964,6.628765060240964,6.821579528199874
2010-12-31,6.632614878012274,6.632614878012274,6.821579528199874
2011-01-01,,6.6242205270056855,6.933594006181992
2011-01-02,,6.615826175999096,6.933594006181992
2011-01-03,6.607431824992508,6.607431824992508,6.933594006181992
2011-01-04,6.6451829222859695,6.6451829222859695,6.933594006181992
2011-01-05,6.741164005146447,6.741164005146447,6.933594006181992
2011-01-06,6.767168283553587,6.767168283553587,6.933594006181992
2011-01-07,6.841524573721164,6.841524573721164,6.933594006181992
2011-01-08,,6.852912323993086,6.933594006181992
2011-01-09,,6.8643000742650075,6.933594006181992
2011-01-10,6.8756878245369295,6.8756878245369295,6.933594006181992
2011-01-11,6.8522551745443305,6.8522551745443305,6.933594006181992
2011-01-12,6.846141987204194,6.846141987204194,6.933594006181992
2011-01-13,6.842336540647018,6.842336540647018,6.933594006181992
2011-01-14,6.963742602442131,6.963742602442131,6.933594006181992
2011-01-15,,6.951938385851662,6.933594006181992
2011-01-16,,6.940134169261193,6.933594006181992
2011-01-17,6.928329952670724,6.928329952670724,6.933594006181992
2011-01-18,6.892902550295416,6.892902550295416,6.933594006181992
2011-01-19,6.974751962090922,6.974751962090922,6.933594006181992
2011-01-20,7.074079572446556,7.074079572446556,6.933594006181992
2011-01-21,7.1385252570076165,7.1385252570076165,6.933594006181992
2011-01-22,,7.113596456308813,6.933594006181992
2011-01-23,,7.088667655610011,6.933594006181992
2011-01-24,7.0637388549112075,7.0637388549112075,6.933594006181992
2011-01-25,7.065681082671374,7.065681082671374,6.933594006181992
2011-01-26,7.102404794971127,7.102404794971127,6.933594006181992
2011-01-27,7.079104695246428,7.079104695246428,6.933594006181992
2011-01-28,7.10291757840992,7.10291757840992,6.933594006181992
2011-01-29,,7.132249853130228,6.933594006181992
2011-01-30,,7.1615821278505365,6.933594006181992
2011-01-31,7.1909144025708445,7.1909144025708445,6.933594006181992
2011-02-01,7.159578335150855,7.159578335150855,7.187583924299773
2011-02-02,7.150909222632761,7.150909222632761,7.187583924299773
2011-02-03,7.199054201527828,7.199054201527828,7.187583924299773
2011-02-04,7.2887535764067195,7.2887535764067195,7.187583924299773
2011-02-05,,7.282617733886238,7.187583924299773
2011-02-06,,7.276481891365756,7.187583924299773
2011-02-07,7.2703460488452745,7.2703460488452745,7.187583924299773
2011-02-08,7.257572423909058,7.257572423909058,7.187583924299773
2011-02-09,7.205906059939913,7.205906059939913,7.187583924299773
2011-02-10,7.284622169950015,7.284622169950015,7.187583924299773
2011-02-11,7.311298432416445,7.311298432416445,7.187583924299773
2011-02-12,,7.311525343833185,7.187583924299773
2011-02-13,,7.3117522552499254,7.187583924299773
